simtime,num_stations,num_boats,capacity,alpha,beta,randomseed,mn_boatload_ratio,p_wts,p_otb,mn_waiting_demand,dem_occ,dem_left,satisfied
500,9,50,45,8,1,12,0.19,11.35,53.14,5.04,1784,17,99
500,9,60,45,8,1,12,0.15,11.12,49.43,4.96,1784,9,99
500,9,70,45,8,1,12,0.13,10.85,55,4.96,1784,9,99
500,9,80,45,8,1,12,0.12,11.16,50.55,4.96,1784,9,99
500,9,90,45,8,1,12,0.1,10.95,52.23,4.96,1784,9,99
500,9,100,45,8,1,12,0.09,11.14,51.35,4.96,1784,9,99
500,9,10,50,8,1,12,0.75,28.25,44.17,12.59,1784,172,90
500,9,20,50,8,1,12,0.41,12.75,50.13,5.61,1784,35,98
500,9,30,50,8,1,12,0.27,12.07,48.75,5.43,1784,31,98
500,9,40,50,8,1,12,0.21,11.01,50.28,4.99,1784,9,99
500,9,50,50,8,1,12,0.17,11.2,53.14,4.98,1784,9,99
500,9,60,50,8,1,12,0.14,11.12,49.43,4.96,1784,9,99
500,9,70,50,8,1,12,0.12,10.85,55,4.96,1784,9,99
500,9,80,50,8,1,12,0.1,11.16,50.55,4.96,1784,9,99
500,9,90,50,8,1,12,0.09,10.95,52.23,4.96,1784,9,99
500,9,100,50,8,1,12,0.08,11.14,51.35,4.96,1784,9,99
